gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae29.londhx-sbr1.ja.net,146.97.33.1
janet.mx1.lon.uk.geant.net,62.40.124.197
canarie.lon.uk.geant.net,62.40.124.242
wnpg1rtr1.canarie.ca,205.189.32.180
wnpg2rtr1.canarie.ca,205.189.32.60
clgr2rtr1.canarie.ca,205.189.32.176
vncv1rtr1.canarie.ca,205.189.32.174
288-canarie-oran-cr1.vncv1.bc.net,205.189.32.173
cr1-bb3900.vantx2.bc.net,206.12.0.34
343-oran-ubcab-cr2.vncv1.bc.net,134.87.2.49
137.82.88.122,137.82.88.122
a21-a0.net.ubc.ca,137.82.123.65
*,*
*,*
137.82.55.125,137.82.55.125
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
