gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae29.londhx-sbr1.ja.net,146.97.33.1
ae0.londhx-ban2.ja.net,146.97.35.198
ae5.cr10-lon2.ip4.gtt.net,46.33.78.85
et-0-0-47.cr10-lon1.ip4.gtt.net,89.149.139.5
*,*
*,*
4.28.83.74,4.28.83.74
ip-148-72-32-11.ip.secureserver.net,148.72.32.11
be39.trmc0215-01.ars.mgmt.phx3.gdg,184.168.0.73
*,*
*,*
*,*
*,*
ip-132-148-137-208.ip.secureserver.net,132.148.137.208
