gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae29.londhx-sbr1.ja.net,146.97.33.1
ae0.londhx-ban2.ja.net,146.97.35.198
ldn-b3-link.telia.net,62.115.148.158
ldn-bb4-link.telia.net,62.115.134.138
nyk-bb4-link.telia.net,62.115.136.185
nyk-b5-link.telia.net,80.91.254.14
62.115.32.130,62.115.32.130
*,nyk-b2-link.telia.net
80.239.132.214,80.239.132.214
*,*
62.115.32.130,62.115.32.130
*,52.94.82.172
*,52.94.83.159
52.94.83.180,52.94.83.180
52.94.82.141,52.94.82.141
52.94.81.48,52.94.81.48
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
