gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae30.londtw-sbr2.ja.net,146.97.33.6
ae28.londtt-sbr1.ja.net,146.97.33.61
ae0.londtt-ban3.ja.net,146.97.35.170
40ge1-3.core1.lon2.he.net,195.66.224.21
100ge13-2.core1.nyc4.he.net,72.52.92.166
100ge9-1.core2.chi1.he.net,184.105.223.161
216.66.74.194,216.66.74.194
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
