gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae29.londhx-sbr1.ja.net,146.97.33.1
ae0.londhx-ban2.ja.net,146.97.35.198
ae5.cr10-lon2.ip4.gtt.net,46.33.78.85
et-0-0-50.cr11-lon2.ip4.gtt.net,213.254.215.10
ip4.gtt.net,77.67.98.54
ae-0.r24.londen12.uk.bb.gin.ntt.net,129.250.4.140
ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18
ae-1.r07.nycmny01.us.bb.gin.ntt.net,129.250.3.181
ce-0-18-0-0.r07.nycmny01.us.ce.gin.ntt.net,128.241.3.186
209.148.231.53,209.148.231.53
9300-cgw01.bloor.rmgt.net.rogers.com,209.148.229.225
209.148.235.234,209.148.235.234
209.148.230.46,209.148.230.46
24.156.146.174,24.156.146.174
209.148.225.254,209.148.225.254
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
