gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae29.londhx-sbr1.ja.net,146.97.33.1
janet.mx1.lon.uk.geant.net,62.40.124.197
ae0.mx1.lon2.uk.geant.net,62.40.98.79
ae0.mx1.par.fr.geant.net,62.40.98.77
canarie-bckp-gw.mx1.par.fr.geant.net,62.40.124.226
hlfx1rtr1.canarie.ca,205.189.32.171
gigapop-gw.acorn-ns.ca,205.189.32.233
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
