gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae29.londhx-sbr1.ja.net,146.97.33.1
ae0.londhx-ban2.ja.net,146.97.35.198
ae5.cr10-lon2.ip4.gtt.net,46.33.78.85
et-10-3-0.cr4-nyc2.ip4.gtt.net,213.254.214.10
a100-gw.ip4.gtt.net,173.205.58.70
*,*
*,*
*,*
*,*
*,*
54.239.110.249,54.239.110.249
54.239.111.113,54.239.111.113
205.251.244.240,205.251.244.240
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
