gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae29.londhx-sbr1.ja.net,146.97.33.1
ae0.londhx-ban2.ja.net,146.97.35.198
ldn-b3-link.telia.net,62.115.148.158
ldn-bb3-link.telia.net,62.115.134.134
nyk-bb4-link.telia.net,62.115.136.185
chi-b21-link.telia.net,62.115.137.59
steadfast-ic-332234-chi-b21.c.telia.net,213.248.67.149
te9-1.dist02.chi01.steadfast.net,208.100.32.35
as02.chi.fused.net,208.100.50.36
te9-1.dist02.chi01.steadfast.net,208.100.32.35
