gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae29.londhx-sbr1.ja.net,146.97.33.1
janet.mx1.lon.uk.geant.net,62.40.124.197
canarie.lon.uk.geant.net,62.40.124.242
wnpg1rtr1.canarie.ca,205.189.32.180
wnpg2rtr1.canarie.ca,205.189.32.60
clgr2rtr1.canarie.ca,205.189.32.176
cgy-mx-r.cybera.ca,205.189.32.213
h98.gpvpn.ucalgary.ca,136.159.199.98
h77.gpvpn.ucalgary.ca,136.159.199.77
*,*
*,*
*,*
alumni.ucalgary.ca,136.159.96.125
