gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae29.londhx-sbr1.ja.net,146.97.33.1
janet.mx1.lon.uk.geant.net,62.40.124.197
canarie.lon.uk.geant.net,62.40.124.242
wnpg1rtr1.canarie.ca,205.189.32.180
wnpg2rtr1.canarie.ca,205.189.32.60
clgr2rtr1.canarie.ca,205.189.32.176
vncv1rtr1.canarie.ca,205.189.32.174
vctr3rtr1.canarie.ca,205.189.32.198
728-canarie-oran-cr1.vctr3.bc.net,205.189.32.197
129-oran-uviccle-cr1.vctr3.bc.net,207.23.241.140
142.104.100.98,142.104.100.98
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
