gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae31.erdiss-sbr2.ja.net,146.97.33.22
ae23.birmub-rbr1.ja.net,146.97.37.154
193.63.209.14,193.63.209.14
fw-sr000-untrust.bham.ac.uk,147.188.123.1
cs-cc000-ve07.bham.ac.uk,147.188.123.13
cs-ac00-ve700.bham.ac.uk,147.188.123.51
ds-cc00b2e1-2.bham.ac.uk,147.188.120.250
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
