gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae29.londhx-sbr1.ja.net,146.97.33.1
ae0.londhx-ban2.ja.net,146.97.35.198
ae5.cr10-lon2.ip4.gtt.net,46.33.78.85
xe-2-1-1.cr1-lon1.ip4.gtt.net,89.149.137.213
xe2-2-ve-81.thn-pe-2.thn.thebunker.net,46.33.90.22
squiz.1224.cr-1.ash.thebunker.net,93.91.16.189
93.91.16.190,93.91.16.190
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
