gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae31.erdiss-sbr2.ja.net,146.97.33.22
ae30.lowdss-sbr1.ja.net,146.97.33.26
146.97.38.10,146.97.38.10
146.97.65.110,146.97.65.110
146.97.65.122,146.97.65.122
University-of-Essex-Colchester.colcpb-rbr1.eastern.ja.net,146.97.130.130
isslx098a.essex.ac.uk,155.245.155.251
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
