gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae31.erdiss-sbr2.ja.net,146.97.33.22
ae29.manckh-sbr2.ja.net,146.97.33.42
ae26.leedlu-rbr1.ja.net,146.97.36.222
ae0.leedaq-rbr1.ja.net,146.97.71.126
ae7.huddbs-rbr1.ja.net,146.97.71.106
university-of-huddersfield.ja.net,146.97.150.2
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
