gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae19.readdy-rbr1.ja.net,146.97.37.194
ae2.oxfoii-rbr1.ja.net,193.63.108.94
ae3.oxforq-rbr1.ja.net,193.63.108.98
oxford-university.ja.net,193.63.109.90
*,*
lompi1-pind.sdc.ox.ac.uk,192.76.32.62
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
