gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae30.londtw-sbr2.ja.net,146.97.33.6
ae28.londtt-sbr1.ja.net,146.97.33.61
ae0.londtt-ban3.ja.net,146.97.35.170
be1.cr1.lon.bytemark.co.uk,195.66.225.144
te0-1-0-17.cr4.yrk.bytemark.co.uk,91.223.58.40
po1.ar2.dc1.yo26.yrk.bytemark.co.uk,91.223.58.33
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
