gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae29.londhx-sbr1.ja.net,146.97.33.1
ae0.londhx-ban2.ja.net,146.97.35.198
ae5.cr10-lon2.ip4.gtt.net,46.33.78.85
et-0-0-47.cr11-lon1.ip4.gtt.net,89.149.139.25
be3008.ccr21.lon01.atlas.cogentco.com,130.117.15.21
te0-0-2-0.rcr11.b015592-1.lon01.atlas.cogentco.com,130.117.50.98
msols-ltd.demarc.cogentco.com,149.6.146.70
83.166.164.86,83.166.164.86
mx02-xe0.0.1-nht.dc4.nodefour.net,109.234.203.245
77.111.212.79,77.111.212.79
mx01-xe2.0.2-wkf.dc3.nodefour.net,77.111.212.13
77.111.212.95,77.111.212.95
77.111.217.12,77.111.217.12
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
