gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae23.aldess-rbr1.ja.net,146.97.37.250
ae1-0.stonss-rbr1.ja.net,146.97.68.45
146.97.146.166,146.97.146.166
hfc-core-fw1-ext.net.soton.ac.uk,152.78.0.27
hfc-n7k1-fw.net.soton.ac.uk,152.78.109.11
152.78.118.52,152.78.118.52
*,*
*,*
*,*
*,*
*,*
*,ahc-b2-nlb4.net.soton.ac.uk
