gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae30.londtw-sbr2.ja.net,146.97.33.6
ae28.londtt-sbr1.ja.net,146.97.33.61
ae0.londtt-ban3.ja.net,146.97.35.170
ldn-s2-rou-1101.uk.eurorings.net,195.66.224.54
ldn-s1-rou-1101.UK.eurorings.net,134.222.48.110
asd2-rou-1022.NL.eurorings.net,134.222.48.199
asd2-rou-1044.NL.eurorings.net,134.222.48.225
asd-s5-rou-1041.NL.eurorings.net,134.222.48.247
134.222.92.122,134.222.92.122
e1-a8.r2.ams0.transip.net,157.97.168.5
r2.f1.ams4.transip.net,77.72.151.125
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
