gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae1.brisub-rbr1.ja.net,146.97.67.37
ae22.bradss-sbr2.ja.net,146.97.37.161
psba.bradss-sbr2.ja.net,146.97.41.6
159.86.161.40,159.86.161.40
159.86.161.124,159.86.161.124
159.86.161.110,159.86.161.110
159.86.189.16,159.86.189.16
159.86.189.17,159.86.189.17
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
